Ticket,EEM US Equity,EWG US Equity,TIP US Equity,EWJ US Equity,EFA US Equity,IEF US Equity,EWQ US Equity,EWU US Equity,XLB US Equity,XLE US Equity,XLF US Equity,LQD US Equity,XLK US Equity,XLU US Equity,EPP US Equity,FXI US Equity,VGK US Equity,VPL US Equity,SPY US Equity,TLT US Equity,BND US Equity,CSJ US Equity,DIA US Equity
01/23/2012, 41.760000 , 21.110000 , 116.710000 , 37.920000 , 52.160000 , 104.170000 , 20.880000 , 33.500000 , 36.570000 , 71.980000 , 11.522500 , 114.150000 , 26.890000 , 34.750000 , 42.220000 , 38.840000 , 43.740000 , 50.300000 , 131.600000 , 116.250000 , 83.270000 , 104.330000 , 126.810000 
01/24/2012, 41.830000 , 21.050000 , 116.700000 , 37.580000 , 51.840000 , 104.330000 , 20.730000 , 33.400000 , 36.560000 , 71.750000 , 11.502200 , 114.560000 , 26.870000 , 34.460000 , 42.020000 , 38.980000 , 43.530000 , 49.960000 , 131.460000 , 116.410000 , 83.310000 , 104.400000 , 126.460000 
01/25/2012, 42.310000 , 21.330000 , 117.560000 , 38.040000 , 52.390000 , 104.830000 , 20.960000 , 33.640000 , 37.160000 , 72.690000 , 11.530600 , 114.940000 , 27.080000 , 35.040000 , 42.980000 , 39.410000 , 43.950000 , 50.750000 , 132.560000 , 116.170000 , 83.560000 , 104.380000 , 127.240000 
01/26/2012, 42.180000 , 21.490000 , 118.120000 , 37.960000 , 52.440000 , 105.400000 , 21.040000 , 33.820000 , 37.100000 , 71.630000 , 11.441300 , 115.840000 , 26.900000 , 35.140000 , 42.900000 , 39.180000 , 44.070000 , 50.700000 , 131.880000 , 117.670000 , 83.760000 , 104.500000 , 127.070000 
01/27/2012, 42.360000 , 21.670000 , 118.420000 , 38.160000 , 52.500000 , 105.680000 , 21.010000 , 33.560000 , 37.150000 , 71.460000 , 11.473800 , 116.050000 , 26.900000 , 34.690000 , 43.280000 , 39.600000 , 44.100000 , 50.940000 , 131.820000 , 118.080000 , 83.900000 , 104.520000 , 126.450000 
01/30/2012, 41.760000 , 21.320000 , 118.780000 , 38.000000 , 51.890000 , 106.060000 , 20.650000 , 33.140000 , 37.120000 , 71.140000 , 11.368200 , 115.860000 , 26.980000 , 34.510000 , 42.830000 , 38.510000 , 43.440000 , 50.600000 , 131.370000 , 119.470000 , 83.990000 , 104.520000 , 126.240000 
01/31/2012, 42.120000 , 21.350000 , 119.380000 , 38.160000 , 52.140000 , 106.490000 , 20.800000 , 33.340000 , 37.140000 , 70.700000 , 11.417000 , 116.220000 , 27.030000 , 34.660000 , 42.890000 , 38.810000 , 43.680000 , 50.770000 , 131.270000 , 120.860000 , 84.070000 , 104.760000 , 126.070000 
02/01/2012, 43.040000 , 21.870000 , 119.290000 , 38.420000 , 52.960000 , 105.960000 , 21.180000 , 33.920000 , 37.530000 , 70.970000 , 11.595600 , 116.270000 , 27.290000 , 34.770000 , 43.360000 , 39.430000 , 44.580000 , 51.080000 , 132.490000 , 119.180000 , 83.840000 , 104.590000 , 126.910000 
02/02/2012, 43.170000 , 22.020000 , 119.270000 , 38.520000 , 53.090000 , 106.040000 , 21.280000 , 33.980000 , 37.370000 , 71.510000 , 11.652400 , 116.520000 , 27.370000 , 34.720000 , 43.380000 , 39.920000 , 44.640000 , 51.210000 , 132.710000 , 119.120000 , 83.900000 , 104.600000 , 126.850000 
02/03/2012, 43.890000 , 22.440000 , 118.310000 , 38.680000 , 53.910000 , 105.230000 , 21.620000 , 34.940000 , 37.890000 , 72.820000 , 11.969100 , 116.350000 , 27.720000 , 34.800000 , 44.000000 , 40.500000 , 45.520000 , 51.700000 , 134.570000 , 116.570000 , 83.800000 , 104.840000 , 128.360000 
02/06/2012, 43.500000 , 22.340000 , 118.860000 , 38.560000 , 53.660000 , 105.520000 , 21.430000 , 34.780000 , 37.700000 , 73.610000 , 11.904200 , 116.700000 , 27.730000 , 34.675000 , 43.740000 , 39.880000 , 45.210000 , 51.490000 , 134.450000 , 117.740000 , 83.870000 , 104.480000 , 128.140000 
02/07/2012, 43.600000 , 22.520000 , 118.350000 , 38.960000 , 53.950000 , 104.850000 , 21.680000 , 34.900000 , 37.600000 , 74.050000 , 11.896100 , 116.380000 , 27.820000 , 34.930000 , 43.750000 , 39.700000 , 45.620000 , 51.770000 , 134.790000 , 116.270000 , 83.730000 , 104.790000 , 128.520000 
02/08/2012, 43.900000 , 22.620000 , 118.400000 , 39.080000 , 54.180000 , 104.880000 , 21.780000 , 34.860000 , 37.680000 , 73.720000 , 11.985400 , 116.500000 , 28.000000 , 34.960000 , 43.990000 , 40.400000 , 45.790000 , 52.060000 , 135.170000 , 116.380000 , 83.670000 , 104.860000 , 128.710000 
02/09/2012, 43.890000 , 22.730000 , 117.920000 , 39.040000 , 54.300000 , 104.650000 , 21.880000 , 34.920000 , 37.720000 , 73.770000 , 11.952900 , 116.140000 , 28.230000 , 34.865000 , 43.970000 , 40.100000 , 45.830000 , 51.890000 , 135.360000 , 115.510000 , 83.630000 , 104.800000 , 128.770000 
02/10/2012, 42.910000 , 22.160000 , 118.440000 , 38.500000 , 53.290000 , 105.220000 , 21.330000 , 34.410000 , 37.040000 , 72.960000 , 11.823000 , 116.020000 , 28.020000 , 34.825000 , 43.030000 , 38.910000 , 44.870000 , 51.080000 , 134.370000 , 116.990000 , 83.720000 , 104.710000 , 127.920000 
02/13/2012, 43.610000 , 22.390000 , 118.700000 , 38.900000 , 53.880000 , 105.170000 , 21.440000 , 34.820000 , 37.170000 , 73.620000 , 11.936700 , 116.410000 , 28.200000 , 34.760000 , 43.680000 , 39.420000 , 45.460000 , 51.660000 , 135.340000 , 117.130000 , 83.690000 , 104.800000 , 128.610000 
02/14/2012, 43.260000 , 22.180000 , 118.710000 , 38.820000 , 53.490000 , 105.390000 , 21.250000 , 34.600000 , 36.720000 , 73.770000 , 11.814900 , 116.550000 , 28.260000 , 34.820000 , 43.360000 , 39.410000 , 44.970000 , 51.520000 , 135.220000 , 117.760000 , 83.770000 , 104.860000 , 128.660000 
02/15/2012, 43.390000 , 22.070000 , 118.870000 , 39.440000 , 53.550000 , 105.430000 , 21.150000 , 34.520000 , 36.720000 , 73.680000 , 11.741800 , 116.420000 , 28.110000 , 34.680000 , 43.420000 , 39.820000 , 44.830000 , 51.960000 , 134.570000 , 117.560000 , 83.730000 , 104.820000 , 127.860000 
02/16/2012, 43.860000 , 22.440000 , 118.630000 , 39.840000 , 54.280000 , 105.010000 , 21.580000 , 34.980000 , 37.320000 , 74.590000 , 11.920400 , 116.250000 , 28.500000 , 35.060000 , 43.650000 , 40.320000 , 45.580000 , 52.370000 , 136.010000 , 116.620000 , 83.700000 , 104.910000 , 129.100000 
02/17/2012, 43.920000 , 22.700000 , 118.330000 , 39.920000 , 54.520000 , 104.900000 , 21.800000 , 35.130000 , 37.360000 , 74.870000 , 12.001600 , 116.010000 , 28.520000 , 35.030000 , 43.500000 , 40.260000 , 45.810000 , 52.410000 , 136.390000 , 116.600000 , 83.510000 , 104.870000 , 129.220000 
02/21/2012, 43.750000 , 22.875000 , 118.260000 , 39.840000 , 54.540000 , 104.550000 , 21.930000 , 34.960000 , 37.580000 , 75.400000 , 12.001600 , 115.840000 , 28.650000 , 34.920000 , 43.910000 , 39.940000 , 45.810000 , 52.420000 , 136.490000 , 115.290000 , 83.480000 , 104.980000 , 129.350000 
02/22/2012, 43.860000 , 22.760000 , 118.910000 , 39.960000 , 54.370000 , 104.940000 , 21.850000 , 34.760000 , 37.520000 , 75.560000 , 11.847300 , 116.540000 , 28.520000 , 35.000000 , 43.860000 , 40.340000 , 45.660000 , 52.670000 , 136.000000 , 116.730000 , 83.740000 , 105.120000 , 129.090000 
02/23/2012, 43.750000 , 22.930000 , 118.950000 , 40.200000 , 54.820000 , 105.020000 , 22.180000 , 35.040000 , 37.570000 , 75.930000 , 11.952900 , 116.690000 , 28.680000 , 34.920000 , 44.110000 , 40.140000 , 46.120000 , 52.960000 , 136.630000 , 116.740000 , 83.780000 , 105.070000 , 129.580000 
02/24/2012, 44.190000 , 23.190000 , 119.000000 , 40.300000 , 55.170000 , 105.150000 , 22.370000 , 35.320000 , 37.560000 , 76.230000 , 11.912300 , 116.820000 , 28.820000 , 35.080000 , 44.210000 , 40.190000 , 46.510000 , 53.020000 , 136.880000 , 117.500000 , 83.850000 , 105.000000 , 129.600000 
02/27/2012, 43.760000 , 23.030000 , 119.150000 , 40.040000 , 54.880000 , 105.510000 , 22.150000 , 35.040000 , 37.600000 , 75.900000 , 12.009700 , 117.230000 , 28.860000 , 35.030000 , 44.240000 , 39.710000 , 46.100000 , 52.910000 , 137.160000 , 118.560000 , 83.990000 , 105.070000 , 129.600000 
02/28/2012, 44.340000 , 23.290000 , 119.200000 , 40.700000 , 55.370000 , 105.530000 , 22.310000 , 35.320000 , 37.670000 , 75.700000 , 12.034100 , 117.570000 , 29.060000 , 34.910000 , 44.370000 , 40.290000 , 46.540000 , 53.430000 , 137.550000 , 118.150000 , 83.960000 , 105.070000 , 129.860000 
02/29/2012, 44.330000 , 22.940000 , 118.660000 , 39.920000 , 54.660000 , 105.150000 , 22.100000 , 35.060000 , 36.970000 , 74.930000 , 11.969100 , 117.690000 , 28.920000 , 34.890000 , 44.310000 , 40.260000 , 46.070000 , 52.880000 , 136.540000 , 117.480000 , 83.920000 , 105.150000 , 129.330000 
03/01/2012, 44.760000 , 23.230000 , 118.380000 , 40.160000 , 55.290000 , 104.590000 , 22.390000 , 35.580000 , 37.410000 , 75.620000 , 12.123400 , 117.020000 , 29.110000 , 34.990000 , 44.640000 , 40.330000 , 46.650000 , 53.160000 , 137.710000 , 116.100000 , 83.560000 , 105.030000 , 129.570000 
03/02/2012, 44.620000 , 22.960000 , 118.380000 , 39.880000 , 54.770000 , 105.000000 , 22.160000 , 35.140000 , 37.280000 , 74.690000 , 12.066600 , 117.070000 , 29.080000 , 34.985000 , 44.320000 , 40.260000 , 46.090000 , 52.700000 , 137.310000 , 117.140000 , 83.760000 , 105.070000 , 129.570000 
03/05/2012, 43.870000 , 22.860000 , 117.860000 , 39.560000 , 54.510000 , 104.820000 , 22.180000 , 34.980000 , 36.690000 , 74.300000 , 12.026000 , 116.850000 , 28.840000 , 35.060000 , 43.880000 , 39.190000 , 45.890000 , 52.390000 , 136.780000 , 116.260000 , 83.570000 , 104.970000 , 129.410000 
03/06/2012, 42.390000 , 21.770000 , 118.180000 , 39.240000 , 52.730000 , 105.250000 , 21.090000 , 33.840000 , 35.940000 , 73.010000 , 11.733700 , 116.670000 , 28.530000 , 34.900000 , 42.400000 , 37.770000 , 44.020000 , 51.400000 , 134.710000 , 117.590000 , 83.740000 , 104.920000 , 127.400000 
03/07/2012, 42.910000 , 22.080000 , 118.430000 , 39.500000 , 53.410000 , 105.090000 , 21.450000 , 34.220000 , 36.060000 , 73.670000 , 11.879800 , 116.570000 , 28.750000 , 34.910000 , 42.680000 , 37.940000 , 44.700000 , 51.780000 , 135.680000 , 116.920000 , 83.730000 , 104.930000 , 128.280000 
03/08/2012, 43.820000 , 22.880000 , 118.400000 , 40.160000 , 54.540000 , 104.740000 , 22.250000 , 34.660000 , 36.630000 , 74.260000 , 12.001600 , 116.640000 , 29.040000 , 35.040000 , 43.430000 , 38.790000 , 45.920000 , 52.580000 , 137.000000 , 115.750000 , 83.600000 , 105.000000 , 128.960000 
03/09/2012, 43.790000 , 22.740000 , 118.580000 , 40.280000 , 54.360000 , 104.680000 , 21.970000 , 34.520000 , 36.650000 , 74.230000 , 12.090900 , 116.570000 , 29.170000 , 35.220000 , 43.320000 , 39.030000 , 45.480000 , 52.680000 , 137.540000 , 115.960000 , 83.520000 , 104.840000 , 129.170000 
03/12/2012, 43.320000 , 22.870000 , 118.760000 , 39.940000 , 54.220000 , 104.650000 , 22.130000 , 34.540000 , 36.450000 , 73.800000 , 12.062500 , 116.340000 , 29.230000 , 35.600000 , 43.020000 , 38.830000 , 45.590000 , 52.300000 , 137.570000 , 115.970000 , 83.570000 , 104.960000 , 129.480000 
03/13/2012, 44.490000 , 23.140000 , 118.470000 , 40.280000 , 55.090000 , 103.890000 , 22.470000 , 35.240000 , 37.070000 , 74.670000 , 12.521300 , 116.060000 , 29.760000 , 35.690000 , 44.010000 , 39.960000 , 46.440000 , 52.930000 , 140.080000 , 113.910000 , 83.340000 , 105.010000 , 131.730000 
03/14/2012, 43.800000 , 23.150000 , 117.440000 , 39.800000 , 54.620000 , 102.700000 , 22.310000 , 34.940000 , 36.890000 , 73.970000 , 12.537500 , 114.770000 , 29.910000 , 35.170000 , 43.480000 , 38.680000 , 46.050000 , 52.440000 , 139.900000 , 111.060000 , 82.860000 , 104.780000 , 131.900000 
03/15/2012, 44.140000 , 23.510000 , 117.550000 , 40.160000 , 55.150000 , 102.680000 , 22.510000 , 35.040000 , 37.150000 , 74.070000 , 12.764900 , 114.410000 , 29.990000 , 35.150000 , 43.970000 , 38.870000 , 46.560000 , 52.800000 , 140.630000 , 111.200000 , 82.860000 , 105.000000 , 132.410000 
03/16/2012, 44.090000 , 23.650000 , 117.600000 , 40.380000 , 55.510000 , 102.620000 , 22.740000 , 35.360000 , 37.130000 , 74.800000 , 12.764900 , 114.540000 , 29.900000 , 34.750000 , 44.160000 , 38.790000 , 47.010000 , 53.070000 , 140.280000 , 111.420000 , 82.870000 , 105.060000 , 132.070000 
03/19/2012, 43.910000 , 23.750000 , 117.320000 , 40.500000 , 55.790000 , 102.020000 , 22.800000 , 35.460000 , 37.310000 , 75.240000 , 12.846100 , 114.410000 , 30.100000 , 34.540000 , 44.200000 , 37.980000 , 47.240000 , 53.130000 , 140.870000 , 110.150000 , 82.630000 , 105.010000 , 132.070000 
03/20/2012, 43.170000 , 23.420000 , 117.120000 , 40.160000 , 55.130000 , 102.050000 , 22.580000 , 35.020000 , 37.100000 , 74.010000 , 12.894800 , 114.390000 , 30.080000 , 34.610000 , 43.320000 , 37.270000 , 46.670000 , 52.480000 , 140.430000 , 110.520000 , 82.710000 , 104.830000 , 131.390000 
