major,minor,Cash0,Cash1,Cash2,Close,Share0,Share1,Share2,Total0,Total1,Total2
EWG US Equity,2007-12-31,14.3,2101.1,2101.1,35.47,305.0,236.0,236.0,10832.65,10472.02,10472.02
EWG US Equity,2008-01-02,14.3,13.09,13.09,35.39,305.0,295.0,295.0,10808.25,10453.14,10453.14
EWG US Equity,2008-01-03,14.3,13.09,13.09,35.28,305.0,295.0,295.0,10774.7,10420.69,10420.69
EWG US Equity,2008-01-04,14.3,13.09,13.09,34.65,305.0,295.0,295.0,10582.55,10234.84,10234.84
EWG US Equity,2008-01-07,14.3,13.09,13.09,34.63,305.0,295.0,295.0,10576.45,10228.94,10228.94
EWG US Equity,2008-01-08,14.3,13.09,13.09,34.39,305.0,295.0,295.0,10503.25,10158.14,10158.14
EWG US Equity,2008-01-09,14.3,13.09,13.09,34.47,305.0,295.0,295.0,10527.65,10181.74,10181.74
EWG US Equity,2008-01-10,14.3,13.09,13.09,34.59,305.0,295.0,295.0,10564.25,10217.14,10217.14
EWG US Equity,2008-01-11,14.3,13.09,13.09,34.1,305.0,295.0,295.0,10414.8,10072.59,10072.59
EWG US Equity,2008-01-14,14.3,13.09,13.09,34.71,305.0,295.0,295.0,10600.85,10252.54,10252.54
EWG US Equity,2008-01-15,14.3,13.09,13.09,33.85,305.0,295.0,295.0,10338.55,9998.84,9998.84
EWG US Equity,2008-01-16,14.3,13.09,13.09,32.88,305.0,295.0,295.0,10042.7,9712.69,9712.69
EWG US Equity,2008-01-17,14.3,1921.15,1921.15,32.34,305.0,236.0,236.0,9878.0,9553.39,9553.39
EWG US Equity,2008-01-18,14.3,1921.15,1921.15,32.22,305.0,236.0,236.0,9841.4,9525.07,9525.07
EWG US Equity,2008-01-22,14.3,1921.15,1921.15,30.2,305.0,236.0,236.0,9225.3,9048.35,9048.35
EWG US Equity,2008-01-23,14.3,1921.15,3342.91,29.62,305.0,236.0,188.0,9048.4,8911.47,8911.47
EWG US Equity,2008-01-24,14.3,1921.15,3342.91,30.59,305.0,236.0,188.0,9344.25,9140.39,9093.83
EWG US Equity,2008-01-25,14.3,1921.15,3342.91,29.95,305.0,236.0,188.0,9149.05,8989.35,8973.51
EWG US Equity,2008-01-28,14.3,1921.15,3342.91,30.82,305.0,236.0,188.0,9414.4,9194.67,9137.07
EWG US Equity,2008-01-29,14.3,1921.15,3342.91,30.99,305.0,236.0,188.0,9466.25,9234.79,9169.03
EWG US Equity,2008-01-30,14.3,1921.15,3342.91,30.91,305.0,236.0,188.0,9441.85,9215.91,9153.99
EWG US Equity,2008-01-31,14.3,1921.15,3342.91,31.2,305.0,236.0,188.0,9530.3,9284.35,9208.51
EWG US Equity,2008-02-01,14.3,0.259999999999,4.97,31.49,305.0,297.0,294.0,9618.75,9352.79,9263.03
EWG US Equity,2008-02-04,14.3,0.259999999999,4.97,31.45,305.0,297.0,294.0,9606.55,9340.91,9251.27
EWG US Equity,2008-02-05,14.3,0.259999999999,4.97,29.82,305.0,297.0,294.0,9109.4,8856.8,8772.05
EWG US Equity,2008-02-06,14.3,1804.46,1779.1,30.07,305.0,237.0,235.0,9185.65,8931.05,8845.55
EWG US Equity,2008-02-07,14.3,1804.46,1779.1,29.87,305.0,237.0,235.0,9124.65,8883.65,8798.55
EWG US Equity,2008-02-08,14.3,1804.46,1779.1,29.76,305.0,237.0,235.0,9091.1,8857.58,8772.7
EWG US Equity,2008-02-11,14.3,1804.46,1779.1,29.85,305.0,237.0,235.0,9118.55,8878.91,8793.85
EWG US Equity,2008-02-12,14.3,1804.46,1779.1,30.68,305.0,237.0,235.0,9371.7,9075.62,8988.9
EWG US Equity,2008-02-13,14.3,1804.46,1779.1,31.15,305.0,237.0,235.0,9515.05,9187.01,9099.35
EWG US Equity,2008-02-14,14.3,1804.46,1779.1,30.9,305.0,237.0,235.0,9438.8,9127.76,9040.6
EWG US Equity,2008-02-15,14.3,1804.46,1779.1,30.81,305.0,237.0,235.0,9411.35,9106.43,9019.45
EWG US Equity,2008-02-19,14.3,1804.46,1779.1,31.27,305.0,237.0,235.0,9551.65,9215.45,9127.55
EWG US Equity,2008-02-20,14.3,1804.46,1779.1,31.22,305.0,237.0,235.0,9536.4,9203.6,9115.8
EWG US Equity,2008-02-21,14.3,1804.46,1779.1,30.9,305.0,237.0,235.0,9438.8,9127.76,9040.6
EWG US Equity,2008-02-22,14.3,1804.46,1779.1,31.01,305.0,237.0,235.0,9472.35,9153.83,9066.45
EWG US Equity,2008-02-25,14.3,1804.46,1779.1,31.32,305.0,237.0,235.0,9566.9,9227.3,9139.3
EWG US Equity,2008-02-26,14.3,1804.46,1779.1,31.91,305.0,237.0,235.0,9746.85,9367.13,9277.95
EWG US Equity,2008-02-27,14.3,1804.46,1779.1,32.16,305.0,237.0,235.0,9823.1,9426.38,9336.7
EWG US Equity,2008-02-28,14.3,1804.46,1779.1,31.87,305.0,237.0,235.0,9734.65,9357.65,9268.55
EWG US Equity,2008-02-29,14.3,1804.46,1779.1,30.98,305.0,237.0,235.0,9463.2,9146.72,9059.4
