Date,AAPL US Equity,BRK/B US Equity,JPM US Equity,JNJ US Equity,PFE US Equity,AMZN US Equity,CMCSA US Equity,WMT US Equity,PG US Equity,GE US Equity,MMM US Equity,XOM US Equity,CVX US Equity,VZ US Equity,NEE US Equity,DUK US Equity,DOW US Equity,DD US Equity,SPG US Equity,GOOGL US Equity
22/6/2010,39.12,79.53,38.33,59.16,14.97,122.31,9.12,50.68,60.72,15.79,80.03,61.94,74,27.15,50.71,48.96,26.24,35.58,80.48,243.36
23/6/2010,38.71,79.14,38.89,59.24,14.88,121.45,9.09,50.81,61.38,15.39,80.12,61.1,72.26,27.41,50.2,48.66,26.29,35.4,80.99,241.26
24/6/2010,38.43,78.86,38.03,59.6,14.46,118.33,8.91,50.03,60.87,15.08,78.18,60.07,70.83,27.06,49.58,48.45,25.29,34.69,78.95,237.78
25/6/2010,38.1,81.9,39.44,58.7,14.64,121,8.84,48.8,59.79,14.91,78.9,59.1,70.06,26.68,49.22,48.51,25.33,34.83,81.35,236.57
28/6/2010,38.33,81.02,38.54,59.45,14.54,117.8,9.06,49.57,60.62,15,78.98,58.47,69.96,26.83,49.19,49.02,25.52,34.42,79.89,236.27
29/6/2010,36.6,80.03,37.06,59.24,14.28,108.61,8.84,48.9,60.32,14.48,78.49,57.29,68.36,26.74,48.37,48.45,24.16,33.48,76.93,227.35
30/6/2010,35.93,79.69,36.61,59.06,14.26,109.26,8.69,48.07,59.98,14.42,78.99,57.07,67.86,26.18,48.76,48,23.72,32.86,75.92,222.69
1/7/2010,35.5,78.81,36.08,59.07,14.23,110.96,8.87,48.34,59.54,14.12,78.55,56.61,67.48,26.28,48.95,47.91,23.26,32.76,76.21,219.96
2/7/2010,35.28,77.24,35.83,59.08,14.14,109.14,8.73,48,59.38,13.88,77.67,56.57,67.31,26.81,48.96,48.18,22.97,32.36,74.35,218.49
6/7/2010,35.52,77.57,36.33,59.08,14.29,110.06,8.9,48.57,59.34,13.97,78.14,57.46,67.56,26.61,49.4,48.66,23.06,32.35,72.66,218.25
7/7/2010,36.95,79.92,38.15,60.61,14.62,113.43,8.92,48.92,60.82,14.62,80.52,58.43,69.45,26.52,50.8,50.25,24.29,33.49,76.39,225.32
