Date,Close,Signal
16/3/2016,144.79,0
17/3/2016,147.04,0
18/3/2016,147.09,0
21/3/2016,148.63,0
22/3/2016,148.1,0
23/3/2016,145.4,1
24/3/2016,147.95,0
28/3/2016,148.4,1
29/3/2016,149.33,0
30/3/2016,148.41,0
31/3/2016,151.45,0
1/4/2016,152.52,0
4/4/2016,152.07,0
5/4/2016,150,0
6/4/2016,150.02,0
7/4/2016,148.25,0
8/4/2016,149.35,0
11/4/2016,149.25,0
12/4/2016,149.63,1
13/4/2016,151.23,0
14/4/2016,151.16,0
15/4/2016,151.72,0
18/4/2016,152.53,0
19/4/2016,144,0
20/4/2016,146.11,0
21/4/2016,149.3,0
22/4/2016,148.5,0
25/4/2016,148.81,-1
26/4/2016,149.08,-1
27/4/2016,150.47,0
28/4/2016,147.07,0
29/4/2016,145.94,0
2/5/2016,145.27,0
3/5/2016,144.13,0
4/5/2016,144.25,0
5/5/2016,146.47,-1
6/5/2016,147.29,0
9/5/2016,147.34,0
10/5/2016,149.97,0
11/5/2016,148.95,1
12/5/2016,148.84,1
13/5/2016,147.72,0
16/5/2016,149.46,0
17/5/2016,148,0
18/5/2016,147.34,0
19/5/2016,144.93,0
20/5/2016,147.25,0
23/5/2016,146.77,1
24/5/2016,148.31,0
25/5/2016,151.69,0
26/5/2016,152.44,0
27/5/2016,152.84,0
31/5/2016,153.74,0
1/6/2016,152.51,0
2/6/2016,153.5,0
3/6/2016,152.89,0
6/6/2016,152.73,0
7/6/2016,153.33,0
8/6/2016,154,0
9/6/2016,153.42,1
10/6/2016,152.37,1
13/6/2016,151.28,0
14/6/2016,151.06,0
15/6/2016,150.68,0
16/6/2016,151.06,0
17/6/2016,151.99,0
20/6/2016,153.61,0
21/6/2016,154.05,0
22/6/2016,152.92,0
23/6/2016,155.35,0
24/6/2016,146.59,0
27/6/2016,143.5,0
28/6/2016,145.7,0
29/6/2016,148.46,0
30/6/2016,151.78,0
1/7/2016,152.35,0
5/7/2016,151.68,0
6/7/2016,152.37,0
7/7/2016,152.6,0
8/7/2016,154.46,-1
11/7/2016,155.33,-1
12/7/2016,157.04,0
13/7/2016,158.02,0
14/7/2016,160.28,-1
15/7/2016,159.78,0
18/7/2016,159.86,0
19/7/2016,159.58,0
20/7/2016,161.36,0
21/7/2016,160.45,0
22/7/2016,162.07,0
25/7/2016,162.65,0
26/7/2016,162.12,0
27/7/2016,161.83,0
28/7/2016,161.37,0
29/7/2016,160.62,0
1/8/2016,161.45,0
2/8/2016,160.58,0
3/8/2016,160.67,-1
4/8/2016,161.55,0
5/8/2016,163.5,-1
8/8/2016,162.04,0
9/8/2016,161.77,0
10/8/2016,162.08,1
11/8/2016,163.53,0
12/8/2016,161.95,0
15/8/2016,161.88,0
16/8/2016,160.7,0
17/8/2016,160.44,1
18/8/2016,161.36,0
19/8/2016,160.04,0
22/8/2016,160,1
23/8/2016,160.26,0
24/8/2016,159.05,0
25/8/2016,158.63,1
26/8/2016,158.32,0
29/8/2016,159.72,0
30/8/2016,159.4,0
31/8/2016,158.88,0
1/9/2016,159.54,0
2/9/2016,159.55,0
6/9/2016,160.35,1
7/9/2016,161.64,0
8/9/2016,159,0
9/9/2016,155.69,-1
12/9/2016,158.29,1
13/9/2016,155.81,1
14/9/2016,154.05,0
15/9/2016,155.66,0
16/9/2016,153.84,0
19/9/2016,154.87,0
20/9/2016,154.45,0
21/9/2016,155.53,1
22/9/2016,156.11,0
23/9/2016,154.98,0
26/9/2016,153.98,0
27/9/2016,156.77,0
28/9/2016,158.29,1
29/9/2016,158.11,0
30/9/2016,158.85,0
3/10/2016,157.61,0
4/10/2016,156.46,0
5/10/2016,157.08,0
6/10/2016,156.88,0
7/10/2016,155.67,0
10/10/2016,157.02,0
11/10/2016,154.79,-1
12/10/2016,154.29,0
13/10/2016,153.72,-1
14/10/2016,154.45,0
17/10/2016,154.77,0
18/10/2016,150.72,0
19/10/2016,151.26,0
20/10/2016,151.52,0
21/10/2016,149.63,0
24/10/2016,150.57,0
25/10/2016,150.88,0
26/10/2016,151.81,0
27/10/2016,153.35,0
28/10/2016,152.61,0
31/10/2016,153.69,0
1/11/2016,152.79,0
2/11/2016,151.95,1
3/11/2016,152.37,0
4/11/2016,152.43,0
7/11/2016,155.72,-1
8/11/2016,155.17,0
9/11/2016,154.81,1
10/11/2016,160.22,0
11/11/2016,161.27,0
14/11/2016,158.21,0
15/11/2016,158.67,0
16/11/2016,159.29,0
17/11/2016,159.8,0
18/11/2016,160.39,0
21/11/2016,162.77,0
22/11/2016,162.67,0
23/11/2016,161.98,0
25/11/2016,163.14,0
28/11/2016,164.52,0
29/11/2016,163.53,0
30/11/2016,162.22,1
1/12/2016,159.82,1
2/12/2016,160.02,0
5/12/2016,159.84,0
6/12/2016,160.35,0
7/12/2016,164.79,0
8/12/2016,165.36,0
9/12/2016,166.52,0
12/12/2016,165.5,0
13/12/2016,168.29,0
14/12/2016,168.51,0
15/12/2016,168.02,0
16/12/2016,166.73,0
19/12/2016,166.68,0
20/12/2016,167.6,0
21/12/2016,167.33,0
22/12/2016,167.06,1
23/12/2016,166.71,0
27/12/2016,167.14,0
28/12/2016,166.19,0
29/12/2016,166.6,0
30/12/2016,165.99,0
3/1/2017,167.19,0
4/1/2017,169.26,0
5/1/2017,168.7,0
6/1/2017,169.53,1
9/1/2017,167.65,0
10/1/2017,165.52,0
11/1/2017,167.75,0
12/1/2017,167.95,0
13/1/2017,167.34,0
17/1/2017,167.89,0
18/1/2017,166.8,0
19/1/2017,166.81,0
20/1/2017,170.55,0
23/1/2017,171.03,0
24/1/2017,175.9,0
25/1/2017,178.29,0
26/1/2017,178.66,0
27/1/2017,177.3,0
30/1/2017,175.8,0
31/1/2017,174.52,0
1/2/2017,174.29,0
2/2/2017,174.58,0
3/2/2017,175.82,0
6/2/2017,175.86,0
7/2/2017,178.46,-1
8/2/2017,176.17,0
9/2/2017,177.21,0
10/2/2017,178.68,0
13/2/2017,179.36,0
14/2/2017,180.13,0
15/2/2017,181.68,0
16/2/2017,181.43,0
17/2/2017,180.67,0
21/2/2017,180.26,0
22/2/2017,181.15,0
23/2/2017,181.65,1
24/2/2017,181.35,1
27/2/2017,179.4,0
28/2/2017,179.82,0
1/3/2017,181.95,0
2/3/2017,180.53,0
3/3/2017,180.05,1
6/3/2017,180.47,0
7/3/2017,180.38,0
8/3/2017,179.45,0
9/3/2017,177.18,0
10/3/2017,177.83,0
13/3/2017,176.46,1
14/3/2017,175.72,0
15/3/2017,175.81,0
16/3/2017,177.24,0
17/3/2017,175.65,0
20/3/2017,175.7,0
21/3/2017,173.88,0
22/3/2017,174.78,0
23/3/2017,174.82,0
24/3/2017,173.83,0
27/3/2017,173.77,0
28/3/2017,174.51,0
29/3/2017,173.94,0
30/3/2017,173.86,0
31/3/2017,174.14,0
3/4/2017,174.5,0
4/4/2017,174.52,0
5/4/2017,172.88,-1
6/4/2017,172.45,0
7/4/2017,172.14,0
10/4/2017,171.2,0
11/4/2017,170.58,0
12/4/2017,170.66,0
13/4/2017,169.53,0
17/4/2017,171.1,0
18/4/2017,170.05,0
19/4/2017,161.69,0
20/4/2017,162.3,-1
21/4/2017,160.38,1
24/4/2017,160.75,0
25/4/2017,160.39,1
26/4/2017,160.06,0
27/4/2017,160.32,0
28/4/2017,160.29,0
1/5/2017,158.84,0
2/5/2017,159.1,0
3/5/2017,158.63,0
4/5/2017,159.05,1
5/5/2017,155.05,0
8/5/2017,153.03,-1
9/5/2017,152.11,0
10/5/2017,151.25,0
11/5/2017,150.65,1
12/5/2017,150.37,0
15/5/2017,151.51,0
16/5/2017,153.68,-1
17/5/2017,150.93,0
18/5/2017,150.78,0
19/5/2017,151.98,0
22/5/2017,152.64,0
23/5/2017,152.03,0
24/5/2017,152.51,-1
25/5/2017,153.2,0
26/5/2017,152.49,0
30/5/2017,151.73,0
31/5/2017,152.63,0
1/6/2017,152.67,-1
2/6/2017,152.05,-1
5/6/2017,152.41,1
6/6/2017,152.37,0
7/6/2017,150.98,1
8/6/2017,152.1,0
9/6/2017,154.1,0
12/6/2017,155.18,0
13/6/2017,154.25,0
14/6/2017,153.81,0
15/6/2017,154.22,0
16/6/2017,155.38,0
19/6/2017,154.84,0
20/6/2017,154.95,0
21/6/2017,153.79,1
22/6/2017,154.4,0
23/6/2017,154.11,0
26/6/2017,155.23,0
27/6/2017,154.75,0
28/6/2017,155.32,-1
29/6/2017,154.13,0
30/6/2017,153.83,0
