Date,FB US Equity,SPY US Equity,MSCI US Equity,700 HK Equity,PG US Equity
20150126,77.495,205.45,54.55,137,89.58
20150127,75.78,202.74,54.28,136,86.49
20150128,76.24,200.14,53.89,136.9,85.15
20150129,78,201.9902,54.5,134.6,85.67
20150130,75.91,199.45,53.82,132,84.29
20150202,74.99,201.92,54.36,135.8,85.12
20150203,75.4,204.84,54.83,135.1,85.95
20150204,75.63,204.06,55.13,133.9,85.79
20150205,75.615,206.12,55.5,135.2,86.7
20150206,74.47,205.55,56.03,134.2,85.61
20150209,74.44,204.63,56.91,132.6,85.05
20150210,75.19,206.81,56.98,133,85.39
20150211,76.51,206.93,56.58,131.6,85.64
20150212,76.23,208.92,57.2,129.6,86.03
20150213,75.74,209.78,57.2,130.2,85.9
20150217,75.6,210.11,57.35,130.8,85.49
20150218,76.71,210.13,57.32,129.9,86.26
20150219,79.42,209.98,57.8,129.9,85.21
20150220,79.895,211.239,58.03,129.9,84.87
20150223,78.84,211.209,57.61,134.8,85.39
20150224,78.45,211.81,57.65,135.1,85.5
20150225,79.56,211.63,57.23,135.8,85.46
20150226,80.41,211.38,56.79,135.6,85.17
20150227,78.97,210.66,56.11,135.9,85.13
20150302,79.75,211.99,57.57,136.7,85.41
20150303,79.6,211.12,57.32,135.3,85.16
20150304,80.895,210.2301,56.78,133.3,84.35
20150305,81.21,210.46,55.4,132.1,84.63
20150306,80.005,207.5,55.45,131.7,82.66
20150309,79.44,208.36,55.66,132.2,83.09
20150310,77.55,204.98,54.72,131.1,81.54
20150311,77.57,204.5,55.83,131.7,81.39
20150312,78.93,207.1,57.18,131.8,82.09
20150313,78.05,205.8272,56.74,133.6,81.83
20150316,78.07,208.58,57.9,135.6,83.56
20150317,79.365,207.96,58.41,133.8,82.85
20150318,80.91,210.46,58.7,135.9,83.75
20150319,82.75,209.5,58.62,145,83.38
20150320,83.8,210.41,59.69,142.6,84.74
20150323,84.43,210,60.18,145.2,84.86
20150324,85.31,208.82,59.78,143,83.92
20150325,82.92,205.76,59.32,142.7,83.01
20150326,83.01,205.27,59.82,140.8,82.15
20150327,83.3,205.74,59.58,141.9,82.31
20150330,83.195,208.25,60.92,144.7,82.72
20150331,82.215,206.43,61.31,147.2,81.94
20150401,81.665,205.7,61.04,148,82.32
20150402,81.555,206.435,61.51,149.8,82.43
20150406,82.44,207.83,62.12,149.8,83.04
20150407,82.32,207.28,61.28,149.8,82.39
20150408,82.275,207.975,61.83,154.5,82.77
20150409,82.17,208.9,60.75,159.9,82.89
20150410,82.04,210.04,60.6,161.8,83.35
20150413,83.01,209.09,60.32,170.5,83.43
20150414,83.515,209.49,61.07,161.2,83.6
20150415,82.705,210.43,61,157.6,83.51
20150416,82.31,210.37,61.2,160,83.5
20150417,80.775,207.95,60.89,158.8,82.53
20150420,83.09,209.85,60.94,153.1,82.87
20150421,83.62,209.6,60.87,159.1,83.08
20150422,84.63,210.63,61.6,162.7,83.09
20150423,82.41,211.16,62.25,160.9,80.95
20150424,81.53,211.6499,62.74,161.6,81
20150427,81.91,210.77,62.96,162.6,80.6
20150428,80.68,211.44,62.93,163.6,80.42
20150429,80.465,210.57,62.6,164.2,79.85
20150430,78.77,208.46,61.19,160.9,79.51
20150501,78.99,210.72,62.35,160.9,80.29
20150504,78.81,211.32,62.42,158,80.35
20150505,77.56,208.9,62.04,157.6,80.07
20150506,78.1,208.04,61.46,156,80.4
20150507,78.425,208.87,61.6,153,80.2
20150508,78.51,211.62,62.1,154,80.96
20150511,78.01,210.605,61.83,158.6,80.27
20150512,77.46,209.98,61.36,157,79.95
20150513,78.44,210.02,61.83,156.8,79.7
20150514,81.37,212.21,62.56,161.3,80.57
20150515,80.42,212.44,62.48,162.3,81.05
20150518,80.88,213.1,63.54,161.1,80.74
20150519,80.63,213.03,63.6,161.4,80.83
20150520,80.55,212.88,63.13,158.6,80.48
20150521,80.48,213.5,63.01,156.8,80.41
20150522,80.54,212.99,63.42,158.8,79.95
20150526,79.335,210.7,63.2,158.8,79.14
20150527,80.55,212.7,62.69,157.9,79.39
20150528,80.145,212.46,62.65,155.2,79.33
20150529,79.19,211.14,62.05,155.7,78.39
20150601,80.29,211.57,62.15,156.1,78.85
20150602,80.445,211.36,62.18,157.2,78.54
20150603,82.44,211.92,62.48,158.1,78.56
20150604,82.05,210.1292,62,157.8,78.15
20150605,82.14,209.77,61.8,154.7,77.43
20150608,80.67,208.48,61.38,155.1,77.71
20150609,80.67,208.45,61.43,155,78.9
20150610,82.16,210.95,61.72,153.2,79.54
20150611,81.83,211.63,62,154.3,79.41
20150612,81.53,210.01,61.89,157.2,78.87
20150615,80.71,209.11,61.22,155.2,78.12
20150616,81.06,210.25,61.7,154.1,79.1
20150617,81.79,210.59,61.78,154.3,80.08
20150618,82.905,212.78,61.96,154.3,80.82
20150619,82.51,210.81,61.87,154.2,80.54
20150622,84.74,211.89,62,157,80.45
20150623,87.88,212.04,63.23,158.1,79.79
20150624,88.86,210.5,63.1,163.7,79.51
20150625,87.98,209.86,63.32,162,79.39
20150626,88.01,209.82,63.75,159.9,79.34
20150629,85.8,205.42,61.79,153.1,78.32
20150630,85.765,205.85,61.55,154.7,78.24
20150701,86.91,207.5,62.21,154.7,79.72
20150702,87.285,207.31,62.02,156.5,79.93
