Securities,Date,Buy_Hold,SD_05,SD_1,SD_2
MMM,5/4/2013,-0.000377925,0,-0.000377852,-0.000377766
MMM,8/4/2013,-0.000283551,-0.000283408,-0.000283496,-0.000283431
MMM,9/4/2013,0.001890877,0.001889924,0.001890508,0.001890077
MMM,10/4/2013,0.016419582,0.016411326,0.016416388,0.016412652
MMM,11/4/2013,0.005199096,0,0.005198101,0.005196937
MMM,12/4/2013,-0.005264566,0,-0.005263564,-0.005262392
MMM,15/4/2013,-0.017827127,0,-0.017823715,-0.017819725
MMM,16/4/2013,0.003686861,0.00368755,0.003686143,0.003685303
MMM,17/4/2013,-0.006310573,0,-0.006309347,-0.006307914
MMM,18/4/2013,-0.00473929,0,-0.004738364,-0.004737281
MMM,19/4/2013,0.006952313,0.006953673,0.006950948,0.006949352
MMM,22/4/2013,0.000851217,0,0.000851051,0.000850856
MMM,23/4/2013,0.015025369,0,0.015022442,0.015019019
MMM,24/4/2013,0.004468815,0,0.004467957,0.004466954
MMM,25/4/2013,-0.027713147,0,-0.027707852,-0.02770166
MMM,26/4/2013,-0.010390746,-0.010386998,-0.010388705,-0.010386316
MMM,29/4/2013,0.000385316,0.000385175,0.000385239,0.00038515
MMM,30/4/2013,0.008473676,0.008470588,0.008471994,0.008470027
MMM,1/5/2013,-0.001527723,-0.001527171,-0.001527422,-0.001527071
MMM,2/5/2013,0.014248688,0,0.014245879,0.014242594
MMM,3/5/2013,0.016877075,0,0.016873795,0.016869959
MMM,6/5/2013,9.27205E-05,0,9.27028E-05,9.27E-05
MMM,7/5/2013,0.001576102,0,0.001575801,0.001575449
MMM,8/5/2013,0.001758754,0,0.001758418,0.001758026
MMM,9/5/2013,0.015893399,0,0.015890371,0.015886831
MMM,10/5/2013,0.00509364,0,0.005092685,0.005091568
MMM,13/5/2013,0.000180994,0,0,0.000180921
MMM,14/5/2013,0.000814325,0,0,0.000813995
MMM,15/5/2013,0.008227028,0.008222843,0,0.008223701
MMM,16/5/2013,-0.003855775,0,0,-0.003854229
MMM,17/5/2013,0.002880521,0,0,0.002879361
MMM,20/5/2013,0.002962005,0,0,0.002960816
MMM,21/5/2013,0.002595287,0,0,0.002594248
MMM,22/5/2013,-0.01088984,0,0,-0.010885493
MMM,23/5/2013,-0.003429261,0,0,-0.003427877
MMM,24/5/2013,-0.00126776,-0.001266847,0,-0.001267246
MMM,28/5/2013,0.011968335,0.011959705,0,0.011963482
MMM,29/5/2013,-0.004121456,0,0,-0.004119805
MMM,30/5/2013,0.002609063,0,0,0.002608013
MMM,31/5/2013,-0.010319359,0,0,-0.010315218
MMM,3/6/2013,0.003082753,0,0,0.003081503
MMM,4/6/2013,-0.005333043,0,0,-0.005330887
MMM,5/6/2013,-0.012995153,0,0,-0.012989871
MMM,6/6/2013,0.000736573,0.000736123,0.000736504,0.00073627
MMM,7/6/2013,0.022448954,0.022435221,0.022446839,0.022439717
MMM,10/6/2013,-0.002699516,-0.002697901,-0.002699267,-0.00269843
MMM,11/6/2013,-0.005323419,0,0,-0.005321271
MMM,12/6/2013,-0.010794529,-0.010790515,-0.010794368,-0.01079015
MMM,13/6/2013,0.019898941,0.019891461,0.019898641,0.01989078
MMM,14/6/2013,-0.001528488,-0.001527925,-0.001528465,-0.001527873
MMM,17/6/2013,0.007924285,0.00792136,0.007924168,0.007921094
MMM,18/6/2013,0.009470117,0.009466649,0.009469978,0.009466334
MMM,19/6/2013,-0.012390364,-0.012385869,-0.012390184,-0.01238546
MMM,20/6/2013,-0.025002009,0,0,-0.024991989
MMM,21/6/2013,0.007444782,0,0,0.007441722
MMM,24/6/2013,-0.019067424,0,0,-0.019059644
MMM,25/6/2013,0.006882374,0,0,0.006879512
MMM,26/6/2013,0.013301185,0,0,0.01329569
MMM,27/6/2013,0.005104783,0,0,0.005102702
MMM,28/6/2013,-0.008071755,0,0,-0.008068481
MMM,1/7/2013,-0.000365728,0,0,-0.000365578
MMM,2/7/2013,-0.00530499,0,0,-0.00530282
MMM,3/7/2013,0.006620627,0,0,0.006617904
MMM,5/7/2013,0.019091809,0,0,0.019084009
MMM,8/7/2013,0.005288585,0,0,0.005286465
MMM,9/7/2013,0.010878188,0,0,0.01087385
MMM,10/7/2013,0.000705648,0,0,0.000705369
MMM,11/7/2013,0.009695813,0,0,0.009691991
MMM,12/7/2013,0.005325138,0,0,0.005323059
MMM,15/7/2013,-0.002518213,0,0,-0.002517235
MMM,16/7/2013,-0.004439762,-0.004437567,0,-0.004438033
MMM,17/7/2013,0.002623271,0,0,0.002622245
MMM,18/7/2013,0.007325941,0,0,0.007323084
MMM,19/7/2013,0.006147131,0,0,0.006144751
MMM,22/7/2013,0.000774453,0,0,0.000774155
MMM,23/7/2013,0.004041237,0,0,0.004039683
MMM,24/7/2013,-0.003596782,-0.003597341,-0.003594305,-0.003595405
MMM,25/7/2013,0.00189083,0.001891125,0.001889523,0.001890103
MMM,26/7/2013,0.003088246,0.003088726,0.003086115,0.003087061
MMM,29/7/2013,-0.002565615,0,-0.00256385,-0.002564634
MMM,30/7/2013,0.001972031,0,0.001970671,0.001971275
MMM,31/7/2013,0.005048732,0,0.005045257,0.0050468
MMM,1/8/2013,0.008343903,0,0.008338189,0.008340726
MMM,2/8/2013,-0.00126656,0,0,-0.001266082
MMM,5/8/2013,-0.00287451,0,0,-0.002873423
MMM,6/8/2013,-0.003561102,0,0,-0.003559751
MMM,7/8/2013,0.002808008,0.002806156,0,0.002806939
